BRANCH|NODE|TYPE
https://www2.census.gov/geo/tiger/TIGER2014/BG/|https://www2.census.gov/geo/tiger/TIGER2014/BG/tl_2014_08_bg.zip|LEAF
https://www2.census.gov/geo/tiger/TIGER2014/BG/|https://www2.census.gov/geo/tiger/TIGER2014/BG/tl_2014_09_bg.zip|LEAF
https://www2.census.gov/geo/tiger/TIGER2014/BG/|https://www2.census.gov/geo/tiger/TIGER2014/BG/tl_2014_10_bg.zip|LEAF
https://www2.census.gov/geo/tiger/TIGER2014/BG/|https://www2.census.gov/geo/tiger/TIGER2014/BG/tl_2014_11_bg.zip|LEAF
https://www2.census.gov/geo/tiger/TIGER2014/BG/|https://www2.census.gov/geo/tiger/TIGER2014/BG/tl_2014_12_bg.zip|LEAF
https://www2.census.gov/geo/tiger/TIGER2014/BG/|https://www2.census.gov/geo/tiger/TIGER2014/BG/tl_2014_13_bg.zip|LEAF
https://www2.census.gov/geo/tiger/TIGER2014/BG/|https://www2.census.gov/geo/tiger/TIGER2014/BG/tl_2014_15_bg.zip|LEAF
https://www2.census.gov/geo/tiger/TIGER2014/BG/|https://www2.census.gov/geo/tiger/TIGER2014/BG/tl_2014_16_bg.zip|LEAF
https://www2.census.gov/geo/tiger/TIGER2014/BG/|https://www2.census.gov/geo/tiger/TIGER2014/BG/tl_2014_17_bg.zip|LEAF
https://www2.census.gov/geo/tiger/TIGER2014/BG/|https://www2.census.gov/geo/tiger/TIGER2014/BG/tl_2014_18_bg.zip|LEAF
https://www2.census.gov/geo/tiger/TIGER2014/BG/|https://www2.census.gov/geo/tiger/TIGER2014/BG/tl_2014_19_bg.zip|LEAF
https://www2.census.gov/geo/tiger/TIGER2014/BG/|https://www2.census.gov/geo/tiger/TIGER2014/BG/tl_2014_20_bg.zip|LEAF
https://www2.census.gov/geo/tiger/TIGER2014/BG/|https://www2.census.gov/geo/tiger/TIGER2014/BG/tl_2014_21_bg.zip|LEAF
https://www2.census.gov/geo/tiger/TIGER2014/BG/|https://www2.census.gov/geo/tiger/TIGER2014/BG/tl_2014_22_bg.zip|LEAF
https://www2.census.gov/geo/tiger/TIGER2014/BG/|https://www2.census.gov/geo/tiger/TIGER2014/BG/tl_2014_23_bg.zip|LEAF
https://www2.census.gov/geo/tiger/TIGER2014/BG/|https://www2.census.gov/geo/tiger/TIGER2014/BG/tl_2014_24_bg.zip|LEAF
https://www2.census.gov/geo/tiger/TIGER2014/BG/|https://www2.census.gov/geo/tiger/TIGER2014/BG/tl_2014_25_bg.zip|LEAF
https://www2.census.gov/geo/tiger/TIGER2014/BG/|https://www2.census.gov/geo/tiger/TIGER2014/BG/tl_2014_26_bg.zip|LEAF
https://www2.census.gov/geo/tiger/TIGER2014/BG/|https://www2.census.gov/geo/tiger/TIGER2014/BG/tl_2014_27_bg.zip|LEAF
https://www2.census.gov/geo/tiger/TIGER2014/BG/|https://www2.census.gov/geo/tiger/TIGER2014/BG/tl_2014_28_bg.zip|LEAF
https://www2.census.gov/geo/tiger/TIGER2014/BG/|https://www2.census.gov/geo/tiger/TIGER2014/BG/tl_2014_29_bg.zip|LEAF
https://www2.census.gov/geo/tiger/TIGER2014/BG/|https://www2.census.gov/geo/tiger/TIGER2014/BG/tl_2014_30_bg.zip|LEAF
https://www2.census.gov/geo/tiger/TIGER2014/BG/|https://www2.census.gov/geo/tiger/TIGER2014/BG/tl_2014_31_bg.zip|LEAF
https://www2.census.gov/geo/tiger/TIGER2014/BG/|https://www2.census.gov/geo/tiger/TIGER2014/BG/tl_2014_32_bg.zip|LEAF
https://www2.census.gov/geo/tiger/TIGER2014/BG/|https://www2.census.gov/geo/tiger/TIGER2014/BG/tl_2014_33_bg.zip|LEAF
https://www2.census.gov/geo/tiger/TIGER2014/BG/|https://www2.census.gov/geo/tiger/TIGER2014/BG/tl_2014_34_bg.zip|LEAF
https://www2.census.gov/geo/tiger/TIGER2014/BG/|https://www2.census.gov/geo/tiger/TIGER2014/BG/tl_2014_35_bg.zip|LEAF
